Name,Actual_PublishMonth,Predicted_PublishMonth
A Miracle of St. Antony,1,8
Best Thing in Life is a Friend,2,10
"The Magician's Nephew (Radio Theatre's Chronicles of Narnia, #1)",6,5
Goldberg Street: Short Plays and Monologues,1,5
"Change Mummified: Cinema, Historicity, Theory",10,7
"Flaubert, Joyce and Beckett: The Stoic Comedians (Lannan Selection)",2,3
Life's Journeys According to Mister Rogers: Things to Remember Along the Way,4,1
Little Miss Birthday,1,6
Statutes on Family Law 2003-2004,12,7
Le voyage intÃ©rieur,1,4
Biology of Plants,7,5
Towards the Abolition of Whiteness,3,6
The Regal Way: The Life and Times of Rabbi Israel of Ruzhin,6,1
Al-Ghazzali on the Treatment of the Love of Power and Control,10,1
"French Fried (A  Carolyn Blue Culinary Mystery, #9)",12,11
Loving God with All Your Mind,1,4
From Grill To Dome: A Dictionary Of African American Slang Words And Phrases,12,12
The Trend of Economic Thinking: Essays on Political Economists and Economic History,12,10
Judge Dredd: Death Aid,3,1
How to Drive Your Woman Wild in Bed,4,9
Rewriting Conceptual Art,12,12
"Dust and Ashes (Arbat tetralogy, #4)",3,9
Chess Tactics for Champions: A step-by-step guide to using tactics and combinations the Polgar way,4,11
"Sailor Moon, #3 (Sailor Moon, #3)",1,11
Playgrounds of the Gods: A Year of Sporting Fantasy,9,3
A Window Across the River,9,9
No Boundary: Eastern And Western Approaches To Personal Growth,2,9
Granta 72: Overreachers,2,8
Complete Films of Cary Grant,1,12
King of the Castle,9,4
"The Secret of Golf: A Century of Groundbreaking, Innovative, and Occasionally Outlandish Ways to Master the World's Most Vexing Game",4,12
Der Butt,9,5
"Soy of Cooking: Easy-To-Make, Vegetarian, Low-Fat, Fat-Free, and Antioxidant-Rich Gourmet Recipes",1,1
Irvine Welsh's Trainspotting: A Reader's Guide,9,8
The Struggle for Mastery in Europe 1848-1918 (History of Modern Europe),12,1
Genetic Engineering (Introducing Issues with Opposing Viewpoints),9,12
Contract Killer,2,2
The Settlement of Disputes in International Law Institutions and Procedures (Paperback),7,12
"Body Heat (The O'Roarkes, #1)",3,8
Joint Structure and Function: A Comprehensive Analysis,6,11
Assessing Student Performance: Exploring the Purpose and Limits of Testing,9,5
Reader's Digest Guide To Flower Arranging (Readers Digest),5,1
"Cassandra in Red (Dan Fortune, #17)",3,1
Holiness: The Heart God Purifies,8,10
"After This Manner, Pray: Understanding the Power of the Lord's Prayer",1,1
"Harshini (Hythrun Chronicles: Demon Child, #3)",4,2
Mr. Bojangles: the biography of Bill Robinson,8,9
Recollections of Tartar Steppes and Their Inhabitants,2,1
"Hands-on Writing Activities That Get Kids Ready for the Writing Assessments: Mini-Lessons and Learning-Rich Activities That Build on the Multiple Intelligences to Teach Narrative, Persuasive, and Informational Writingâ€”and Engage Each and Every Student!",11,1
Las 48 Leyes del Poder,1,12
"The Art and Craft of Keepsake Photography Engagements & Weddings: How to Take Perfect Photos and Make Stunning Invitations, Announcements, Albums, Thank You Notes, and More",2,1
Trailside's Trail Food,5,1
"WaveDancers (ElfQuest Reader's Collection, #16)",3,11
Arco New York City Specialized  High Schools Admissions Test (5th Edition),9,1
The Life of the Bee,6,8
Metahistoria: La imaginaciÃ³n histÃ³rica en la Europa del siglo XIX,7,10
Bosom Buddies: Lessons and Laughter on Breast Health and Cancer,11,9
The Inner Champion: A Mental Toughness Training Manual for Figure Skaters,12,6
Spreading the Word,6,10
The Case of the Mythical Monkeys (Perry Mason Mystery),9,10
Prayers for the Assassin (Assassin Trilogy #1),10,8
Information for Foreigners: Three Plays,3,1
Nine Below Zero,9,11
Whole Earth Software Catalog,10,8
How to Survive the IRS: My Battles Against Goliath,4,10
Som om inget hade hÃ¤nt,1,10
Pass Finals: A Companion to Kumar & Clark,4,1
"The Harry Bosch Novels, Volume 1: The Black Echo / The Black Ice / The Concrete Blonde (Harry Bosch,#1-3)",10,9
Opportunities in Physician Assistant Careers,12,4
The Complete Idiot's Guide to the Roman Empire,8,1
Reflexions,10,1
Sacred Texts of the World: A Universal Anthology,7,11
Mississippi Writings,5,5
"Winterheim (Dragonlance: Icewall, #3)",1,11
Art of Tibet: A Catalogue of the Los Angeles County Museum of Art Collection,5,1
Erec and Enide,2,12
Who's Who in Hell,8,2
Conservations with the King: Meditations That Encourage,1,1
The Innocent Eye: On Modern Literature and the Arts,9,10
"Asteroids, Comets, and Meteorites: Cosmic Invaders of the Earth",2,1
Aerospace Revolution: Role Revision And Technology   An Overview (Brassey's Air Power),11,1
The Best of the Allman Brothers Band,12,1
Constructing Usable Web Menus,10,10
"Duns Scotus on the Will and Morality: Selected and Translated with an Introduction by Allen B. Wolter, O.F.M.",3,10
Cakes and Ale,12,10
Official Guide/U.S. Law (A Publication of the Law School Admission Council. Issn 0886-3342),5,1
"GÃ¼nther FÃ¶rg: Ausstellung, 8. Dezember 1995 - 25. Februar 1996, Kunstverein Hannover und Orangerie Herrenhausen: Katalog",11,1
"Yours Truly, Goldilocks (Stories to Go!)",9,1
Blue Dog Man,9,10
"The Voyage of the Dawn Treader (The Chronicles of Narnia, #3)",3,5
The Mystery Of The Missing Dog,4,11
When Life Takes What Matters: Devotions to Comfort You Through Crisis and Change,3,1
"Baby, I'm Yours",5,9
The Notebook,12,11
"The Magic of Oz (Oz, #13)",9,6
Sundays at Moosewood Restaurant,10,12
The Story of Canada,9,1
Studies in Graeco-Roman Religions and Gnosticism,6,1
Introduction to Group Therapy,4,4
The Endurance of Frankenstein: Essays on Mary Shelley's Novel,5,9
Reading Ovid: Stories from the Metamorphoses,3,2
The Structures Of Everyday Life In Japan In The Last Decade Of The Twentieth Century,1,1
Footprints of Thunder,7,9
"The Brothers' War (Magic: The Gathering: Artifacts Cycle, #1)",6,9
Saints and Madmen: How Pioneering Psychiatrists Are Creating a New Science of the Soul,11,12
"The Dilemma of ""Double-Consciousness"": Toni Morrison's Novels",9,1
Marilyn Manson - Lest We Forget: The Best of,7,9
"Democracy and Development: Political Institutions and Well-Being in the World, 1950 1990",10,4
One Man Caravan,11,12
Early Writings in Science and Science Fiction,6,1
Celebrating Changes,6,1
Relativity and Common Sense: A New Approach to Einstein,3,5
A Magical Course in Tarot: Reading the Cards in a Whole New Way,2,2
Cooperation Without Trust?,6,9
My Mother Takes a Tumble,9,1
Passing,8,5
The American Victorian Woman: The Myth and the Reality,9,1
The Religion of the Sufis,12,1
Politically Correct Parables,10,10
The Joy Diet: 10 Daily Practices for a Happier Life,5,5
Taken By Surprise,1,3
What the Body Remembers,1,4
Leadership and Training for the Fight: A Few Thoughts on Leadership and Training from a Former Special Operations Soldier,10,3
Lipstick and Blood,10,7
Deep,12,2
Reading Lives: Working-Class Children and Literacy Learning (Language and Literacy Series (Teachers College Pr)),3,1
Witness for the Prosecution: A Play in Three Acts,10,5
Abigail Adams: A Writing Life,2,2
Market Finan Serv Corpor Clien,6,1
"The Camera Lucida in Art and Science,",1,1
"La Danza de La Muerte (Pendergast, #6; Diogenes #2)",8,11
Carving Angels,1,1
China Marine: An Infantryman's Life After World War II,7,9
The Continuity Girl,4,3
Ramayana: A Tale of Gods and Demons,3,1
Coffee with Groucho,9,1
Vagabondages littÃ©raires: Initiation Ã  la litterature d'expression franÃ§aise,12,1
30 Essential Yoga Poses: For Beginning Students and Their Teachers,11,8
7 Secrets of Marketing in a Multi-Cultural World,2,4
Communion and Liberation: A Movement in the Church,3,1
Gwilan's Harp,6,2
A Visit from the Tooth Fairy,12,4
"Into the Vietnamese Kitchen: Treasured Foodways, Modern Flavors",10,9
The Great Success Manual,8,1
Allan and the Holy Flower,1,10
Comer Schools in Action: The 3-Volume Field Guide,6,1
Parallax: The Race to Measure the Cosmos,5,10
Muslim Saints and Mystics: Episodes from the Tadhkirat al-Auliya' (Memorial of the Saints),9,10
Daniel Libeskind: Between Zero and Infinity,12,1
Beyond the Age of Innocence: Rebuilding Trust Between America and the World,3,9
Japanese Art,4,12
Indentidad oculta,10,7
Shakespeare and the Victorians: Arden Critical Companions,9,1
The Best American Short Stories 2006,10,4
Antony and Cleopatra,3,8
Kitten Kindergarten/the Kitty Cafe: Practical Help and Advice for Your Kitten's First Year,4,1
More Than Money More Than Faith; Successfully Raising Missionary Support in the Twenty-First Century,2,4
Conservative Systems and Quantum Chaos,1,1
Critical Essays on Albert Camus,7,9
The Necessity of Interfaith Dialogue: A Muslim Perspective,9,1
World Drama: From Aescylus to Anouilh,1,1
Doctors' Stories: The Narrative Structure of Medical Knowledge,3,9
Encyclopedia of Mongolia and the Mongol Empire,10,3
Iphigeneia at Aulis,9,3
ABC's of the Bauhaus: The Bauhaus and Design Theory,1,10
Growing Up Digital,1,12
"Liberty's Daughters: The Revolutionary Experience of American Women, 1750-1800",10,5
Escapade Johnson and the Coffee Shop of the Living Dead,3,1
Growing Godly Women: A Christian Woman's Guide to Mentoring Teenage Girls,12,7
Creole Thrift: Premium Southern Living Without Spending a Mint,10,11
"The Plenitude: Creativity, Innovation, and Making Stuff",8,3
Total Package (Heartbreakers #4),3,2
Padre Pio: The Irish Connection,10,3
"Petrarch, Dante And The Troubadours: The Religion Of Love And Poetry",12,1
Op Amp Applications Handbook,11,6
Fish Florida Saltwater: Better Than Luck--The Foolproof Guide to Florida Saltwater Fishing,10,1
"Medicinal Mushrooms: An Exploration of Tradition, Healing, & Culture",2,4
365 Meditations for Women by Women,9,1
On Being a Christian,2,9
"One Eye Closed, the Other Red: The California Bootlegging Years",1,8
Domesticity: A Gastronomic Interpretation of Love,2,4
"Running Away, from or to the Truth?",4,1
500 More Low-Carb Recipes: 500 All-New Recipes from Around the World,10,7
Gospel According to Larry,4,9
The Messiah Seed Volume I,12,6
Names Will Never Hurt Me,11,10
A Historical Atlas of Iran,1,1
A Children's Treasury of Lullabies,10,4
"Loving Ambitions Collection (Sweet Valley High, #117, #118, #119)",2,9
Wager with the Wind: The Don Sheldon Story,5,1
Death Comes For The Archbishop  Willa Cather: Curriculum Unit,12,12
Abbott and Costello Meet Frankenstein,4,9
"Kill and Tell (CIA Spies, #1)",10,8
In the Deep Heart's Core,8,3
Falling in Love Falling in Love with You Syntax: Selected and New Poems,1,3
The Birth of Christianity,3,9
One-Person Puppet Plays,6,1
"The Rounds, Catches And Canons Of England",10,1
The Right Way to Invest in Mutual Funds,10,1
A Black Eye Isn't the End of the World: The Panda Priciples: Simple Thoughts for a Better Life,9,8
Introduction to Documentary,11,4
The Gabriel Hounds,11,11
"My Nature Is Hunger: New and Selected Poems, 1989 2004",9,10
El edipo de sangre: O de la vida tormentosa de Jose Maria Obando,6,11
Gaff Topsails,3,10
Annihilation from Within: The Ultimate Threat to Nations,10,7
Gabriel Garcia Marquez: A Critical Companion,9,5
The Adventures and Memoirs of Sherlock Holmes,4,9
Fin M'Coul: The Giant of Knockmany Hill,1,1
The Parasite Menace,9,4
50 Ways to Fight Censorship: And Important Facts to Know about the Censors,5,8
Les joueurs,2,11
Het Nederlandse Renaissancetoneel,1,1
Trusted Mole,4,9
Way to Victory: The Annotated Book of Five Rings,12,5
Consensus in Theology? A Dialogue with Hans Kung and Edward Schillebeeckx,12,1
An Ocean Apart/ Starting Over,10,6
Formular Language and Poetic Design in the Aeneid,6,1
"On Humanistic Education: Six Inaugural Orations, 1699 1707",8,2
"A Writer's Diary, Volume Two, 1877-1881",7,12
Authenticities,1,1
"House of Mist: And, the Shrouded Woman: Two Novels",12,11
"Gods, Men and Ghosts: The Best Supernatural Fiction of Lord Dunsany",12,6
"Career and Life Planning with Gay, Lesbian, and Bisexual Persons",1,1
Integrating Quantitative and Qualitative Research in Development Projects,6,9
"The Complete Plays, Vol. 2: 1999-2007",1,5
Indigo Star,1,7
Marjorie Weinman Sharmat,1,12
An Introduction to Legal Reasoning,2,9
The Birth of the Palestinian Refugee Problem Revisited,1,11
Fast Company's Greatest Hits: Ten Years of the Most Innovative Ideas in Business,7,2
Faith After Foundationalism,6,10
Cremation in America,4,3
Push Not the River,9,4
Mathematics Across Cultures: The History of Non-Western Mathematics,11,1
Interventions,5,11
Dracula Unleashed: The Official Strategy Guide & Novel,6,2
"Captivated (The Donovan Legacy, #1)",2,6
A Year of Wonder,6,11
Undersea (Open Sesame),9,1
The Mayan Calendar and the Transformation of Consciousness,3,11
Fluffy Plants A Jellybean (level 3),2,10
A Woman Alone Can Be Contented: Your Guide to Self-Fulfillment,11,1
Shifting Continents/Colliding Cultures: Diaspora Writing of the Indian Subcontinent (Cross/Cultures 42),1,1
The Women's Companion to Mythology,1,2
Monsieur,5,6
Kangaroo,2,8
Henry James on Culture: Collected Essays on Politics and the American Social Scene,5,1
"Advances in Cryptology - CRYPTO 2006: 26th Annual International Cryptology Conference, Santa Barbara, California, USA, August 20-24, 2006, Proceedings",9,10
The Amazing Milk Book,6,1
Molded in the Image of Changing Woman: Navajo Views on the Human Body and Personhood,7,1
Excel 2003 Formulas,10,6
Web Site Graphics: Navigation 2: The Best Works on the Web,11,12
The Boy Who Cried ABBA: A Parable of Self-Acceptance,6,6
Illustrated Word Smart: A Visual Vocabulary Builder,6,5
Ethics in Psychology: Professional Standards and Cases (Oxford Series in Clinical Psychology),5,10
Samuel Beckett's New Worlds: Style in Metafiction,12,1
"Forbidden Dance, Vol. 2",10,8
"Faux Surfaces in Polymer Clay: 30 Techniques  Projects That Imitate Stones, Metals, Wood  More",8,12
What If You Got Involved?: Taking a Stand Against Social Injustice,12,5
Murder in the Casbah & Other Mysteries (New Adventures of Sherlock Holmes),11,12
Odds Against,4,4
Being a Good Dad When You Didn't Have One,3,1
"Miller-Keane Encyclopedia & Dictionary of Medicine, Nursing, & Allied Health",2,6
"The Lilaguide: Baby-Friendly San Francisco Bay Area: New Parent Survival Guide to Shopping, Activities, Restaurants and More...",9,5
Reading John with St. Thomas Aquinas: Theological Exegesis and Speculative Theology,6,12
Prisoners of The Japanese: POWs of World War II in the Pacific,1,1
The Trouble with Liberty,1,6
"Cambodian Architecture, Eighth to Thirteenth Centuries",4,1
In the Golden Land: A Century of Russian & Soviet Jewish Immigration in America,3,1
Inside Hitler's Bunker: The Last Days of the Third Reich,3,6
The College Admissions Mystique,1,8
"Mangrove Squeeze (Key West, #6)",5,10
The Best American Nonrequired Reading 2006,10,5
"Existential Anthropology: Events, Exigencies, and Effects",6,10
"It's Gone!... No, Wait a Minute . .: Talking My Way into the Big Leagues at 40",3,5
Ingmar Bergman: Film and Stage,4,12
Making the Dean's List,8,1
A Mad People's History of Madness,3,8
A Short History of the 20th Century,6,8
Shadow Warriors: Inside the Special Forces (Commanders),2,1
"Young, Gifted, and Black: Promoting High Achievement among African-American Students",2,10
Not So!: Popular Myths about America from Columbus to Clinton,10,1
FALLOUT: A HISTORIAN REFLECTS ON AMERICA'S HALF-C,3,12
Trick Baby,11,9
Humble Boy,8,7
To Kiss the Chastening Rod,4,1
Licensed To Kill?: The Nuclear Regulatory Commission and the Shoreham Power Plant,1,1
The Subversion of Politics: European Autonomous Social Movements and the Decolonization of Everyday Life,6,11
Keep Your Dream Alive,10,5
The Thyroid Hormone Breakthrough: Overcoming Sexual and Hormonal Problems at Every Age,11,4
Many are Called,10,1
Creating Perfect Relationships ~ Wisdom on Creating and Affirming the Relationships You Desire,5,8
The Devil Is an Ass: And Other Plays,5,3
The Healing Connection: How Women Form Relationships in Therapy and in Life,9,4
"Fish Talking: Recipes from Le Madri, Coco Pazzo, and Sapore Di Mare",5,2
Survival in Auschwitz,9,9
Foundations of Chumash Complexity,1,9
"A Flash in the Pan: Fast, Fabulous Recipes in a Single Skillet",3,1
"Favorite Children's Authors and Illustrators, Volume 2: Clyde Robert Bulla to Kate Dicamillo",8,10
"Jack B. Yeats, a Centenary Gathering",12,1
In the Money: A Book about Banking,9,12
The Biology Of Alcoholism,2,1
Looking at Luke Through the Eyes of Hope: Vol 1,12,3
Thomas Kuhn's Revolution,12,12
The Sacred Bones,3,6
Tout le monde est occupÃ©,6,4
King Ink II,7,10
Teaching Malcolm X: Popular Culture and Literacy,11,6
Shades of Twilight/Son of the Morning,1,9
"A Social History of Modern Art, Volume 1: Art in an Age of Revolution, 1750-1800",1,12
"A Way of Looking at Things: Selected Papers, 1930-80",5,12
Madeleine L'Engle,6,11
The Second Treatise of Government/A Letter Concerning Toleration,8,4
"On Tuesdays, They Played Mah Jongg",6,7
"The Square Dance and Contra Dance Handbook: Calls, Dance Movements, Music, Glossary, Bibliography, Discography, and Directories",1,4
The Lichtenberg Figures,9,9
"Collusion Across The Jordan: King Abdullah, The Zionist Movement, And The Partition Of Palestine",7,1
"Freedom of Information: Open Access, Empty Archives?",3,5
Love That Produces Hope: The Thought of Ignacio Ellacuria,5,11
The European Union: Politics and Policies,9,3
Game 1: #1 in The Barnstormers: Tales of the Travelin' Nine Series,2,1
Chemistry: A Guided Inquiry,3,1
"Regionalism in the Age of Globalism, Volume 2: Forms of Regionalism",6,12
Major: A Political Life,2,1
The Botany Coloring Book,4,8
Psychopathia Sexualis: A Medico-Legal Study,11,5
Loose Ends (Roswell #1),5,5
Sir Nigel,12,8
Foundations Of Mechanics,1,1
Charles Darwin,1,1
In Search of J.D. Salinger,9,1
Inheritance,8,9
The Garden Behind The Moon,6,2
Sensuous Burgundy,12,5
The Devil in Connecticut,7,2
"Spells & Sleeping Bags (Magic in Manhattan, #3)",6,6
The Secret Message of Shame: Pathways to Hope and Healing,10,9
Access 2007 for Starters: The Missing Manual,2,3
Creating a Good Relationship,5,1
Harvey Penick's Little Red Book: Lessons And Teachings From A Lifetime In Golf,5,10
Understanding Contemporary China,11,2
!Fish! La Eficacia de un Equipo Radica en Su Capacidad de Motivacion,7,10
The Character of Rain,11,5
Great Short Works of Fyodor Dostoevsky,7,10
The Sex of Labour Law in Europe,8,1
What Color is Your Parachute? 1987,2,3
Sinclair's The Jungle (CliffsNotes),12,9
An A to Z of DNA Science: What Scientists Mean When They Talk about Genes and Genomes,8,1
Grey Seas Under,11,6
Doctor Desoto (Edicion En Espanol) with CD,11,4
This Moment on Earth: Today's New Environmentalists and Their Vision for the Future,3,7
Jonah: God's Global Reach,3,1
The Living Dead: A Study of the Vampire in Romantic Literature,9,12
Grand Street 70: Against Nature,4,1
The Short Fiction Of Ambrose Bierce: A Comprehensive Edition,9,8
20 Instant Math Learning Centers Kids Will Love!: Reproducible Activities and Patterns That Help Young Learners Practice Math Skills Independently,11,5
Pottery Barn Storage & Display,4,10
"Mrs. Pollifax, Innocent Tourist (Mrs. Pollifax, #13)",9,5
"Ricky Tims' Convergence Quilts: Mysterious, Magical, Easy, and Fun",10,8
"The Navigator (NUMA Files, #7)",6,3
Satisfying Our Innate Desire (to Know God),7,1
Dance with Rosie,10,7
Emergency Nursing: Pearls of Wisdom,6,1
Prize Stories 1983: The O. Henry Awards,4,1
Major Problems in American Women's History: Documents and Essays,12,1
"Skeleton Key (Alex Rider, #3)",2,6
Pages from the Goncourt Journals,11,10
Rise and Fall of the Media Establishment,12,7
Make Money in Real Estate Tax Liens: How to Guarantee Your Return Up to 50%,4,11
Academic Anthropology and the Museum: Back to the Future,12,1
The Witch's Shield: Protection Magick and Psychic Self-Defense,7,11
Bill Severn's Magic Mind,2,1
Empire: A Visual Novel,1,1
Pierre-Simon Laplace Philosophical Essay on Probabilities: Translated from the Fifth French Edition of 1825 with Notes by the Translator,3,6
Tower at the Edge of Time,12,5
"The Galactic Pirate (Be An Interplanetary Spy, #2)",5,6
"Juvenile Delinquency: Theory, Practice, and Law",12,1
"The Private World: Selections from the Diario Intimo and Selected Letters, 1890-1936",12,1
Why Did Grandpa Die?: A Book about Death,1,10
Out of My Mind,11,3
"The Complete Idiot's Guide to Understanding the Brain: CIG to Understanding the Brain, The",7,11
50 Simple Ways to Live a Longer Life: Everyday Techniques from the Forefront of Science,6,10
Blueberry Science,4,1
The Angry Book,4,11
"Pipe Down (Nintendo Adventure Books, #5)",9,3
"Oliver's Story (Love Story, #2)",7,4
The Age of Miracles,12,9
Ideology (Concepts in the Social Sciences),12,12
"Sex, Law, and Society in Late Imperial China",1,10
Life With Googie,1,1
Report on Communion: An Independent Investigation of and Commentary on Whitley Strieber's Communion,8,7
C.L.R. James and Creolization: Circles of Influence,7,1
SPSS Survival Manual,1,5
Herald,1,4
The Character of Criticism,7,10
The Golden Rules,10,1
Fallen Angel Volume 2: To Serve in Hell,3,3
"To Justin, Against Christianity: On Christian Delusions, Deceptions, and Outright Lies",10,1
Newsday: A Candid History of the Respectable Tabloid,12,2
The Parisian Worlds of Frederic Chopin,11,10
The Cambridge Companion to the Stoics,5,10
CBGB & OMFUG: Thirty Years from the Home of Underground Rock,7,11
Medicine: The Art of Healing,1,3
The Cleveland Clinic Intensive Review of Internal Medicine,4,12
"What to Do About Your Brain-Injured Child: Or Your Brain-Damaged, Mentally Retarded, Mentally Deficient, Cerebral-Palsied, Spatic, Flaccid, Rigid, ... Autistic, Athetoid, Hyperactive, Down's Child",11,12
Serving TWA Maisters: Five Classic Plays in Scots Translation,5,12
The Hunchback of Notre Dame (A Stepping Stone Book),5,12
Small Wolf,4,3
The Blind Years,3,12
Mrs. de Winter,11,4
The New Victory Garden,11,8
Principles of Computer Architecture,11,9
Sponges,9,9
Flash Fiction,5,1
Six Great Ideas,12,4
Changing Cities: Urban Sociology,1,1
Voices from the Quarters: The Fiction of Ernest J. Gaines,8,9
Avoiding Nuclear Anarchy: Containing the Threat of Loose Russian Nuclear Weapons and Fissile Material,3,7
Grandeza Para Cada Dia: Inspiracion Para el Diario Vivir,10,1
Life After Debt: Christianity and Global Justice,8,1
The 1st Deadly Sin,12,1
Â¿CÃ³mo Te Va? Glencoe Middle School Spanish A Nivel Azul B,5,1
The Four-thirds Solution: Solving The Child-care Crisis In America Today,10,10
Neighbor Power: Building Community the Seattle Way,11,11
Tom Jefferson: Third President of the U.S. (Childhood of Famous Americans),10,1
Operation Time Search,11,7
South of the Pumphouse,7,9
Angel: Autumnal (Angel Comic #6 Angel Season 1),12,12
Being Bullied,6,1
Halmoni and the Picnic,9,6
Queen of a Rainy Country,10,5
Rock Climbing Basics,4,6
"Relations of Rescue: The Search for Female Moral Authority in the American West, 1874-1939",3,2
Confounding the Color Line: The Indian-Black Experience in North America,7,10
From Age-ing to Sage-ing: A Revolutionary Approach to Growing Older,12,9
The Tao of Learning: Lao Tzu's Tao Te Ching Adapted for a New Age,11,6
"Social Capital: Critical Perspectives on Community and ""Bowling Alone""",11,7
A Country for Children,11,10
The Secret World of Fairies,3,8
Mississippi: Conflict & Change,2,3
"The Selkie (Sea Fey, #2)",2,1
"Scholars, Saints and Sufis: Muslim Religious Institutions Since 1500",8,1
Father's Flying Flapjacks (Maurice Sendak's Little Bear),4,8
Secrets of Plant Life,1,1
The White Boy Shuffle,5,9
"The Left Bank: Writers, Artists, and Politics from the Popular Front to the Cold War",11,8
Political Culture in the Reign of Elizabeth I: Queen and Commonwealth 1558 1585,3,5
El lado oscuro de la historia cristiana,9,1
Best of Tin House: Stories,5,3
My Greatest Day in Baseball,1,1
"Go, Go, Go!: Kids on the Move",9,11
Solution Selling: Creating Buyers in Difficult Selling Markets,9,3
Cheaters: 180 Telltale Signs Mates are Cheating and How to Catch Them,10,7
Cowboys Don't Cry (Code of the West #1; Tanner Brothers #1),12,1
Rule #1: The Simple Strategy for Successful Investing--in Only 15 Minutes a Week!,3,12
The Red String Book: The Power of Protection,2,3
Black Athena Revisited,4,12
Francis Beaumont,1,1
Who Will Cry When You Die?,4,5
"Tough Love for Schools: Essays on Competition, Accountability, and Excellence",1,1
You Don't Look Like Your Mother,1,12
From Research to Manuscript: A Guide to Scientific Writing,3,10
William Blake: Selected Poems,8,2
Woodstock Nation: A Talk-rock Album,11,9
StarCraft Expansion Set: Brood War: Prima's Official Strategy Guide,1,8
The Singing Geese,1,12
Loney Planet Estados Unidos (Lonely Planet USA (Spanish)),2,1
George W. Bush Portrait of a Leader,10,1
King Harold II and the Bayeux Tapestry,6,12
Dinosaur Cut  Use Stencils,2,1
How to Buy a House in California,3,2
A Glint of Black Stocking: The Royal Infirmary,8,1
The Great Gain of Godliness: Practical Notes on Malachi 3:16-18,10,6
The Decipherment of Linear B,9,10
Winslow Homer's Images of Blacks: The Civil War and Reconstruction Years,5,1
Clang-Clang! Bang-Bang! (Sesame Beginnings),4,12
The Photoshop CS / Cs2 Wow! Book,10,9
The Understanding Your Angels and Meeting Your Guides,1,1
CDMA: Principles of Spread Spectrum Communication,4,1
Flying Saucers: A Modern Myth of Things Seen in the Skies,1,4
The Perfect War: The War We Couldn't Lose and How We Did,5,11
Social Theory and Religion,8,6
Leslie,8,5
Family Education in Mental Illness,3,1
Theatrical Space and Historical Place in Sophocles' Oedipus at Colonus,9,1
"The Field Guide: The Art, History and Philosophy of Crop Circle Making",8,7
Outlook 2007 Business Contact Manager for Dummies,3,3
Mr. McMurtry's Bubble Hat,8,5
"Western Civilization, Volume 1: A Brief History: To 1715",1,5
"The Iowa Award: The Best Stories, 1991-2000",8,4
The Book of Bobbin Lace Stitches,4,1
"Fist of the North Star: Master Edition, Volume 4",5,9
"Storey's Guide to Raising Ducks: Breeds, Care, Health",11,8
Earthquake Weather: Poems,5,1
Zelda and Ivy: The Runaways: Candlewick Sparks,5,3
Another America/Otra America,4,2
I Never Saw Another Butterfly: Full Play,12,5
Aromatherapy An A-Z,7,10
A Catullus Workbook (Latin Literature Workbook Series) (Latin and English Edition),9,10
Illustration Now!,6,9
"The City, Seen as a Garden of Ideas",1,9
The Moscow Option: An Alternative Second World War,2,2
Current Medical Diagnosis & Treatment Digital Edition 2005,10,6
Paul Grice: Philosopher and Linguist,4,12
Music by Computers,1,1
"African American Architects: A Biographical Dictionary, 1865-1945",1,1
What Your Doctor May Not Tell You About(TM) : Cholesterol: The Latest Natural Treatments and Scientific Advances in One Breakthrough Program,6,1
KGB Lexicon: The Soviet Intelligence Officers Handbook,2,9
"Killjoy (Buchanan-Renard, #3)",9,9
Blood Secrets (Valorian Chronicles #1),2,7
"Wyoming Curiosities: Quirky Characters, Roadside Oddities & Other Offbeat Stuff",7,2
El hombre que yo quiero,4,6
"Virus (Dr. Marissa Blumenthal, #1)",5,5
Constant Craving (Bryant Winery #2),12,7
The Death of Stephane Mallarme,2,1
Pulitzer Prize Feat Stories-98-1*,4,6
Divine Conquest,4,7
Amsterdam: The Rough Guide,4,9
An Introduction to Analog and Digital Communications,2,12
"Brand Portfolio Strategy: Creating Relevance, Differentiation, Energy, Leverage, and Clarity",4,10
Sayers on Holmes: Essays and Fiction on Sherlock Holmes,12,1
Mapping Your Future: Understand & Maximize Your Potential,3,11
Pat Hobby's Hollywood Stories,7,4
Reclaiming a Plundered Past: Archaeology and Nation Building in Modern Iraq,1,9
"Albert Frey, Architect",11,2
Egon Schiele: Landscapes,10,11
The Din in the Head,6,2
Simple Storys: Ein Roman aus der ostdeutschen Provinz,12,9
Peter Handke,1,1
Computer Systems Performance Evaluation and Prediction,6,1
Onion John,4,1
John Barth and the Anxiety of Continuance,12,1
"The Grain of the Voice: Interviews, 1962-1980",2,12
"Minutes of Proceedings, Session 1997-98",2,1
"Buffalo Bill in Bologna: The Americanization of the World, 1869-1922",8,7
Robots and Donuts: The Art of Eric Joyner,8,6
The Problematic Bourgeois: Twentieth-Century Criticism on Thomas Mann's Buddenbrooks and the Magic Mountain,1,1
"Inuyasha, Volume 16",12,1
About-Face Space Race (AstroKids #5),10,5
La Tierra es plana: Breve historia del mundo globalizado del siglo XXI,1,12
Little Rabbit's Loose Tooth,1,8
"Orientalism and Religion: Post-Colonial Theory, India and The Mystic East",4,1
Notes From Underground,7,9
Maxfield Parrish: A Treasury of Art and Children's Literature,10,9
Antes Del Fin,1,5
"Conan, Vol. 2: The God in the Bowl and Other Stories",10,4
Between God and Gangsta Rap: Bearing Witness to Black Culture,1,1
